"","names","""Bad"".x","""Good"".x","total.x","""Bad"".y","""Good"".y","total.y","""Bad""","""Good""","total"
"1","""258""",0,1,1,"0.0","100.0","100.0","0.0"," 0.1"," 0.1"
"2","""268""",0,2,2,"0.0","100.0","100.0","0.0"," 0.2"," 0.2"
"3","""273""",0,1,1,"0.0","100.0","100.0","0.0"," 0.1"," 0.1"
"4","""280""",0,1,1,"0.0","100.0","100.0","0.0"," 0.1"," 0.1"
"5","""294""",0,1,1,"0.0","100.0","100.0","0.0"," 0.1"," 0.1"
"6","""430""",33,712,745,"4.4"," 95.6","100.0","2.6","56.0","58.6"
"7","""431""",0,1,1,"0.0","100.0","100.0","0.0"," 0.1"," 0.1"
"8","""450""",0,4,4,"0.0","100.0","100.0","0.0"," 0.3"," 0.3"
"9","""470""",0,1,1,"0.0","100.0","100.0","0.0"," 0.1"," 0.1"
"10","""473""",0,2,2,"0.0","100.0","100.0","0.0"," 0.2"," 0.2"
"11","""480""",0,13,13,"0.0","100.0","100.0","0.0"," 1.0"," 1.0"
"12","""481""",0,3,3,"0.0","100.0","100.0","0.0"," 0.2"," 0.2"
"13","""482""",7,236,243,"2.9"," 97.1","100.0","0.6","18.6","19.1"
"14","""490""",1,17,18,"5.6"," 94.4","100.0","0.1"," 1.3"," 1.4"
"15","""491""",0,1,1,"0.0","100.0","100.0","0.0"," 0.1"," 0.1"
"16","""492""",4,114,118,"3.4"," 96.6","100.0","0.3"," 9.0"," 9.3"
"17","""600""",0,4,4,"0.0","100.0","100.0","0.0"," 0.3"," 0.3"
"18","""614""",5,71,76,"6.6"," 93.4","100.0","0.4"," 5.6"," 6.0"
"19","""615""",1,35,36,"2.8"," 97.2","100.0","0.1"," 2.8"," 2.8"
"20","""NA""",0,1,1,"0.0","100.0","100.0","0.0"," 0.1"," 0.1"
